16000000.0 nm0000095 nm0000095 6.6 tt0278823 tt0093818 7.6
16000000.0 nm0000095 nm0000095 6.6 tt0278823 tt0097965 6.4
16000000.0 nm0000095 nm0000095 6.6 tt0278823 tt0109348 7.5
16000000.0 nm0000095 nm0000095 6.6 tt0278823 tt0116242 6.8
16000000.0 nm0000095 nm0000095 6.6 tt0278823 tt0118954 7.4
16000000.0 nm0000095 nm0000095 6.6 tt0278823 tt0120533 6.3
16000000.0 nm0000095 nm0000095 6.6 tt0278823 tt0196216 6.7
16000000.0 nm0000095 nm0000095 6.6 tt0278823 tt0256524 6.8
16000000.0 nm0000095 nm0000095 6.6 tt0278823 tt0278823 6.6
16000000.0 nm0000095 nm0000095 6.6 tt0278823 tt0313792 6.4
18000000.0 nm0000095 nm0000095 6.4 tt0313792 tt0066808 7.1
18000000.0 nm0000095 nm0000095 6.4 tt0313792 tt0068555 6.8
18000000.0 nm0000095 nm0000095 6.4 tt0313792 tt0070707 7.3
18000000.0 nm0000095 nm0000095 6.4 tt0313792 tt0075686 8.1
18000000.0 nm0000095 nm0000095 6.4 tt0313792 tt0093818 7.6
18000000.0 nm0000095 nm0000095 6.4 tt0313792 tt0097965 6.4
18000000.0 nm0000095 nm0000095 6.4 tt0313792 tt0109348 7.5
18000000.0 nm0000095 nm0000095 6.4 tt0313792 tt0116242 6.8
18000000.0 nm0000095 nm0000095 6.4 tt0313792 tt0118954 7.4
18000000.0 nm0000095 nm0000095 6.4 tt0313792 tt0120533 6.3
18000000.0 nm0000095 nm0000095 6.4 tt0313792 tt0196216 6.7
18000000.0 nm0000095 nm0000095 6.4 tt0313792 tt0256524 6.8
18000000.0 nm0000095 nm0000095 6.4 tt0313792 tt0278823 6.6
18000000.0 nm0000095 nm0000095 6.4 tt0313792 tt0313792 6.4
15000000.0 nm0000104 nm0000104 6.3 tt0142201 tt0142201 6.3
17000000.0 nm0000108 nm0000108 6.5 tt0090095 tt0090095 6.5
17000000.0 nm0000108 nm0000108 6.5 tt0090095 tt0119116 7.7
17000000.0 nm0000108 nm0000108 6.5 tt0090095 tt0151137 6.4
17000000.0 nm0000108 nm0000108 6.5 tt0090095 tt0344854 6.0
93000000.0 nm0000108 nm0000108 7.7 tt0119116 tt0090095 6.5
93000000.0 nm0000108 nm0000108 7.7 tt0119116 tt0119116 7.7
93000000.0 nm0000108 nm0000108 7.7 tt0119116 tt0151137 6.4
93000000.0 nm0000108 nm0000108 7.7 tt0119116 tt0344854 6.0
390000000.0 nm0000108 nm0000108 6.4 tt0151137 tt0090095 6.5
390000000.0 nm0000108 nm0000108 6.4 tt0151137 tt0119116 7.7
390000000.0 nm0000108 nm0000108 6.4 tt0151137 tt0151137 6.4
390000000.0 nm0000108 nm0000108 6.4 tt0151137 tt0344854 6.0
86000000.0 nm0000108 nm0000108 6.0 tt0344854 tt0090095 6.5
86000000.0 nm0000108 nm0000108 6.0 tt0344854 tt0119116 7.7
86000000.0 nm0000108 nm0000108 6.0 tt0344854 tt0151137 6.4
86000000.0 nm0000108 nm0000108 6.0 tt0344854 tt0344854 6.0
9000000.0 nm0000110 nm0000110 7.7 tt0097499 tt0097499 7.7
9000000.0 nm0000110 nm0000110 7.7 tt0097499 tt0107616 7.4
9000000.0 nm0000110 nm0000110 7.7 tt0097499 tt0116477 7.8
9000000.0 nm0000110 nm0000110 7.7 tt0097499 tt0116477 7.8
8000000.0 nm0000110 nm0000110 7.4 tt0107616 tt0097499 7.7
8000000.0 nm0000110 nm0000110 7.4 tt0107616 tt0107616 7.4
8000000.0 nm0000110 nm0000110 7.4 tt0107616 tt0116477 7.8
8000000.0 nm0000110 nm0000110 7.4 tt0107616 tt0116477 7.8
18000000.0 nm0000110 nm0000110 7.8 tt0116477 tt0097499 7.7
18000000.0 nm0000110 nm0000110 7.8 tt0116477 tt0107616 7.4
18000000.0 nm0000110 nm0000110 7.8 tt0116477 tt0116477 7.8
18000000.0 nm0000110 nm0000110 7.8 tt0116477 tt0116477 7.8
18000000.0 nm0000110 nm0000110 7.8 tt0116477 tt0097499 7.7
18000000.0 nm0000110 nm0000110 7.8 tt0116477 tt0107616 7.4
18000000.0 nm0000110 nm0000110 7.8 tt0116477 tt0116477 7.8
18000000.0 nm0000110 nm0000110 7.8 tt0116477 tt0116477 7.8
1300000.0 nm0000114 nm0000114 7.2 tt0117958 tt0117958 7.2
1300000.0 nm0000114 nm0000114 7.2 tt0117958 tt0385056 6.6
500000.0 nm0000114 nm0000114 6.6 tt0385056 tt0117958 7.2
500000.0 nm0000114 nm0000114 6.6 tt0385056 tt0385056 6.6
6500000.0 nm0000116 nm0000116 8.1 tt0088247 tt0088247 8.1
6500000.0 nm0000116 nm0000116 8.1 tt0088247 tt0090605 8.4
6500000.0 nm0000116 nm0000116 8.1 tt0088247 tt0096754 7.6
6500000.0 nm0000116 nm0000116 8.1 tt0088247 tt0103064 8.5
6500000.0 nm0000116 nm0000116 8.1 tt0088247 tt0111503 7.2
6500000.0 nm0000116 nm0000116 8.1 tt0088247 tt0120338 7.7
18500000.0 nm0000116 nm0000116 8.4 tt0090605 tt0088247 8.1
18500000.0 nm0000116 nm0000116 8.4 tt0090605 tt0090605 8.4
18500000.0 nm0000116 nm0000116 8.4 tt0090605 tt0096754 7.6
18500000.0 nm0000116 nm0000116 8.4 tt0090605 tt0103064 8.5
18500000.0 nm0000116 nm0000116 8.4 tt0090605 tt0111503 7.2
18500000.0 nm0000116 nm0000116 8.4 tt0090605 tt0120338 7.7
69500000.0 nm0000116 nm0000116 7.6 tt0096754 tt0088247 8.1
69500000.0 nm0000116 nm0000116 7.6 tt0096754 tt0090605 8.4
69500000.0 nm0000116 nm0000116 7.6 tt0096754 tt0096754 7.6
69500000.0 nm0000116 nm0000116 7.6 tt0096754 tt0103064 8.5
69500000.0 nm0000116 nm0000116 7.6 tt0096754 tt0111503 7.2
